meanfreq,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,centroid,dfrange,label
0.059780985,0.015071489,0.09019344,0.075121951,12.86346184,274.4029055,0.893369417,0.491917766,0.059780985,0,male
0.06600874,0.019413867,0.09266619,0.073252323,22.42328536,634.6138545,0.892193242,0.513723843,0.06600874,0.046875,male
0.077315503,0.008701057,0.131908017,0.123206961,30.75715458,1024.927705,0.846389092,0.478904979,0.077315503,0.0078125,male
0.151228092,0.096581728,0.207955252,0.111373524,1.232831276,4.17729621,0.963322462,0.727231799,0.151228092,0.5546875,male
0.135120387,0.078720218,0.206044929,0.127324711,1.101173666,4.333713155,0.971955076,0.783568058,0.135120387,5.4765625,male
0.132786407,0.067957993,0.209591599,0.141633606,1.932562432,8.308895037,0.963181346,0.738307004,0.132786407,2.71875,male
0.15076233,0.092898936,0.205718085,0.112819149,1.530643231,5.987497658,0.96757307,0.76263767,0.15076233,5.3046875,male
0.160514332,0.110532168,0.231961875,0.121429706,1.397156365,4.766610695,0.95925457,0.719857907,0.160514332,0.53125,male
0.142239417,0.088206278,0.208587444,0.120381166,1.099746151,4.070283706,0.970722932,0.770992054,0.142239417,2.15625,male
0.134328777,0.075579989,0.201957119,0.12637713,1.190368444,4.787309833,0.975246143,0.804505253,0.134328777,4.6796875,male
0.157020511,0.101429933,0.216739752,0.115309819,0.979442275,3.974222626,0.965249139,0.733692878,0.157020511,2.8046875,male
0.138550521,0.08731383,0.202739362,0.115425532,1.626769867,6.291365079,0.966003775,0.752042013,0.138550521,2.7109375,male
0.137342742,0.083144899,0.209226771,0.126081871,1.378728204,5.008951625,0.963513528,0.736149955,0.137342742,5,male
0.181225459,0.128838821,0.229532062,0.100693241,1.369430458,5.475599788,0.93744576,0.537079995,0.181225459,2.796875,male
0.183115281,0.129148666,0.240152478,0.111003812,3.568104024,35.38474845,0.940332623,0.571394202,0.183115281,6.5390625,male
0.174272105,0.115601979,0.228279274,0.112677295,4.48503835,61.76490831,0.950972025,0.635199178,0.174272105,6.9921875,male
0.190846298,0.132280463,0.244356705,0.112076242,1.562303683,7.834349886,0.938546013,0.538809584,0.190846298,6.3125,male
0.171246971,0.122390852,0.243617464,0.121226611,3.207169827,25.76556494,0.936953537,0.586419514,0.171246971,0.5625,male
0.168345946,0.11575591,0.239824079,0.124068169,2.704334729,18.4847026,0.93452338,0.559742318,0.168345946,3.1171875,male
0.173631376,0.123680214,0.244234033,0.120553819,2.804974885,20.85754316,0.930916893,0.518268557,0.173631376,2.8125,male
0.172754287,0.120070012,0.245367561,0.12529755,2.967765093,20.0781147,0.925539327,0.523081123,0.172754287,0.7109375,male
0.181015394,0.128673139,0.254174757,0.125501618,2.587324534,12.28143192,0.91528412,0.475317471,0.181015394,3.6875,male
0.163535853,0.113929619,0.22744868,0.113519062,3.58764999,28.65378051,0.927014678,0.542422404,0.163535853,0.4375,male
0.170212798,0.123988842,0.250125523,0.126136681,2.816792918,13.7645822,0.913832254,0.487965716,0.170212798,0.5546875,male
0.160422477,0.120924041,0.23724354,0.116319499,6.253208252,85.49192569,0.933029647,0.567423614,0.160422477,3.9453125,male
0.164699838,0.118698329,0.240474934,0.121776605,4.208608405,43.68188543,0.94066879,0.604020485,0.164699838,1.0546875,male
0.169578801,0.116706485,0.238549488,0.121843003,4.269922678,45.89524782,0.929498042,0.543708544,0.169578801,3.6015625,male
